StudyID,Study,T,N,Mean,SD
1,Kuo 2006,1,30,-0.2,1.1
1,Kuo 2006,2,30,-1.6,1.64
2,Ozcelik 2004,1,10,-3.9000001,1.49
2,Ozcelik 2004,2,14,-3.4000001,1.42
3,Turker 2006,1,9,-0.60000002,0.89999998
3,Turker 2006,2,18,-2.4000001,0.41999999
4,Wang 2005,1,30,-0.2,1.1
4,Wang 2005,3,30,-1.6,1.64
5,Schechter 2006,1,40,-0.69999999,1.01
5,Schechter 2006,3,40,-3.3,1.01
6,Aydin 2004,1,19,-2.5,1.31
6,Aydin 2004,2,25,-3.5999999,1
6,Aydin 2004,3,22,-4.4000001,1.3099999
7,Beck-Da-Silva 2005,1,10,-1.45,2.1800001
7,Beck-Da-Silva 2005,2,11,-1.66,3.3199999
8,Borges 2007,1,10,-3,2.4300001
8,Borges 2007,5,14,-2.9000001,1.91
9,Cuellar 2000,1,34,-1.37,2.97
9,Cuellar 2000,3,35,-3.1400001,1.54
10,Desimone 2005,1,15,-1.7,1.74
10,Desimone 2005,3,14,-3.3,1.3099999
11,Derosa 2004,2,71,-1.8,5.9000001
11,Derosa 2004,3,70,-1.7,5.02
12,Derosa 2005,2,55,-1.6,4.4499998
12,Derosa 2005,3,58,-1.5,1.52
13,Florakis 2008,1,28,-3.4000001,1.85
13,Florakis 2008,3,56,-4.3000002,2.24
14,Grudell 2008,1,62,-0.1,1.97
14,Grudell 2008,3,119,-1.35,4.5799999
15,Guimaraes 2006,1,10,-0.4,1.11
15,Guimaraes 2006,3,8,-2.2,0.88
15,Guimaraes 2006,4,8,-1.5,1.87
16,Kaya 2004,1,27,-2.52,1.35
16,Kaya 2004,2,29,-3.64,0.97
16,Kaya 2004,3,27,-4.4099998,1.25
16,Kaya 2004,5,21,-5.1199999,1.42
17,Kiortsis 2008,1,20,-1.5,2.1
17,Kiortsis 2008,2,20,-3.2,1.4299999
17,Kiortsis 2008,3,20,-3.3,1.61
18,Ozcelik 2005,1,8,-3.5999999,1.92
18,Ozcelik 2005,2,8,-4.6999998,1.98
19,Scholze 2007,1,84,-0.5,1.83
19,Scholze 2007,3,87,-2,1.87
20,Sarac 2006,1,20,-1.1,1.16
20,Sarac 2006,3,20,-2.5999999,1.61
21,Sari 2004,2,30,-0.89999998,1.26
21,Sari 2004,4,27,-2.3,1.3
22,Sathuapalan 2008,4,10,-0.61000001,1.74
22,Sathuapalan 2008,6,10,-2.3399999,1.11
23,Vazquez Roque 2007,1,23,-0.5,0.95999998
23,Vazquez Roque 2007,3,25,-2,1
24,Wirth 2006,1,49,-0.69999999,1.4
24,Wirth 2006,3,144,-2.4000001,1.2
