Study,T.1,N.1,Mean.1,SD.1,T.2,N.2,Mean.2,SD.2,T.3,N.3,Mean.3,SD.3,T.4,N.4,Mean.4,SD.4
Kuo 2006,Orlistat,30,-1.6,1.64,Placebo,30,-0.2,1.1,NA,NA,NA,NA,NA,NA,NA,NA
Ozcelik 2004,Orlistat,14,-3.4,1.42,Placebo,10,-3.9,1.49,NA,NA,NA,NA,NA,NA,NA,NA
Turker 2006,Orlistat,18,-2.4,0.42,Placebo,9,-0.6,0.9,NA,NA,NA,NA,NA,NA,NA,NA
Wang 2005,Sibutramine,30,-1.6,1.64,Placebo,30,-0.2,1.1,NA,NA,NA,NA,NA,NA,NA,NA
Schechter 2006,Sibutramine,40,-3.3,1.01,Placebo,40,-0.7,1.01,NA,NA,NA,NA,NA,NA,NA,NA
Aydin 2004,Sibutramine,22,-4.4,1.31,Orlistat,25,-3.6,1,Placebo,19,-2.5,1.31,NA,NA,NA,NA
Beck-Da-Silva 2005,Orlistat,11,-1.66,3.32,Placebo,10,-1.45,2.18,NA,NA,NA,NA,NA,NA,NA,NA
Borges 2007,Orli_Sibut,14,-2.9,1.91,Placebo,10,-3,2.43,NA,NA,NA,NA,NA,NA,NA,NA
Cuellar 2000,Sibutramine,35,-3.14,1.54,Placebo,34,-1.37,2.97,NA,NA,NA,NA,NA,NA,NA,NA
Desimone 2005,Sibutramine,14,-3.3,1.31,Placebo,15,-1.7,1.74,NA,NA,NA,NA,NA,NA,NA,NA
Derosa 2004,Sibutramine,70,-1.7,5.02,Orlistat,71,-1.8,5.9,NA,NA,NA,NA,NA,NA,NA,NA
Derosa 2005,Sibutramine,58,-1.5,1.52,Orlistat,55,-1.6,4.45,NA,NA,NA,NA,NA,NA,NA,NA
Florakis 2008,Sibutramine,56,-4.3,2.24,Placebo,28,-3.4,1.85,NA,NA,NA,NA,NA,NA,NA,NA
Grudell 2008,Sibutramine,119,-1.35,4.58,Placebo,62,-0.1,1.97,NA,NA,NA,NA,NA,NA,NA,NA
Guimaraes 2006,Metformin,8,-1.5,1.87,Sibutramine,8,-2.2,0.88,Placebo,10,-0.4,1.11,NA,NA,NA,NA
Kaya 2004,Orli_Sibut,21,-5.12,1.42,Sibutramine,27,-4.41,1.25,Orlistat,29,-3.64,0.97,Placebo,27,-2.52,1.35
Kiortsis 2008,Sibutramine,20,-3.3,1.61,Orlistat,20,-3.2,1.43,Placebo,20,-1.5,2.1,NA,NA,NA,NA
Ozcelik 2005,Orlistat,8,-4.7,1.98,Placebo,8,-3.6,1.92,NA,NA,NA,NA,NA,NA,NA,NA
Scholze 2007,Sibutramine,87,-2,1.87,Placebo,84,-0.5,1.83,NA,NA,NA,NA,NA,NA,NA,NA
Sarac 2006,Sibutramine,20,-2.6,1.61,Placebo,20,-1.1,1.16,NA,NA,NA,NA,NA,NA,NA,NA
Sari 2004,Metformin,27,-2.3,1.3,Orlistat,30,-0.9,1.26,NA,NA,NA,NA,NA,NA,NA,NA
Sathuapalan 2008,Rimonbant,10,-2.34,1.11,Metformin,10,-0.61,1.74,NA,NA,NA,NA,NA,NA,NA,NA
Vazquez Roque 2007,Sibutramine,25,-2,1,Placebo,23,-0.5,0.96,NA,NA,NA,NA,NA,NA,NA,NA
Wirth 2006,Sibutramine,144,-2.4000001,1.2,Placebo,49,-0.69999999,1.4,NA,NA,NA,NA,NA,NA,NA,NA
