Study,T,Mean,SD,N,covar.age,rob,indirectness,rob.randomisation,rob.allocation_concealment,rob.blinding_(participants_and_personnel),rob.blinding_(outcomes),rob.attrition,rob.reporting,rob.other_bias
Study01,Placebo,2.2,2.5,50,45,3,1,1,1,1,1,3,3,1
Study01,Glucocorticoids,1.9,2.4,62,45,3,1,1,1,1,1,3,3,1
Study02,Placebo,2,3.7,45,75.5,1,1,1,2,1,1,1,3,1
Study02,Glucocorticoids,2,2.8,92,75.5,1,1,1,2,1,1,1,3,1
Study03,Placebo,1.4,1.6,88,71.3,3,1,1,1,1,1,1,3,1
Study03,Glucocorticoids,1.4,1.7,78,71.3,3,1,1,1,1,1,1,3,1
Study04,Placebo,2.9,2.5,47,54.5,3,1,2,2,1,1,3,3,3
Study04,Glucocorticoids,2.6,2.4,46,54.5,3,1,2,2,1,1,3,3,3
Study05,Placebo,5.4,3.6,52,56,2,1,1,1,1,1,3,1,1
Study05,Ketamine,3,3.5,43,56,2,1,1,1,1,1,3,1,1
Study06,Placebo,1,1.5,84,50.2,3,1,1,1,1,1,1,1,1
Study06,Ketamine,1,1.5,84,50.2,3,1,1,1,1,1,1,1,1
Study07,Placebo,0,0.2,34,64.5,3,1,1,1,1,1,3,3,3
Study07,Ketamine,0,0.7,33,64.5,3,1,1,1,1,1,3,3,3
Study08,Placebo,0,0.1,35,60.2,2,1,2,2,1,1,3,1,3
Study08,Ketamine,0,0.3,34,60.2,2,1,2,2,1,1,3,1,3
Study09,Placebo,4,3.3,66,66.5,3,1,1,1,1,1,3,1,1
Study09,Ketamine,4,2.2,73,66.5,3,1,1,1,1,1,3,1,1
Study10,Placebo,0.3,0.7,19,60,3,1,1,2,1,2,3,1,3
Study10,Ketamine,1.1,2.1,18,60,3,1,1,2,1,2,3,1,3
Study11,Placebo,0.5,3.7,6,55.3,3,1,2,2,1,1,1,2,3
Study11,Ketamine,2,1.7,8,55.3,3,1,2,2,1,1,1,2,3
Study12,Placebo,1.3,1.5,47,49.5,3,1,2,2,1,2,1,2,1
Study12,Ketamine,1.4,1.4,31,49.5,3,1,2,2,1,2,1,2,1
Study13,Placebo,0,1.9,24,38.5,3,1,1,1,1,1,3,1,1
Study13,Ketamine,0,0.7,25,38.5,3,1,1,1,1,1,3,1,1
Study14,Placebo,1.5,4.4,17,68.8,3,1,1,2,1,1,3,2,3
Study14,Ketamine,0.3,3,15,68.8,3,1,1,2,1,1,3,2,3
Study15,Placebo,1,1.7,35,64.8,3,1,1,2,1,1,3,1,1
Study15,Ketamine,0.7,1.4,33,64.8,3,1,1,2,1,1,3,1,1
Study16,Placebo,4,2.1,42,47.6,3,1,1,2,1,1,3,2,1
Study16,Ketamine,4.3,2.5,49,47.6,3,1,1,2,1,1,3,2,1
Study17,Placebo,2,1.5,62,57,3,1,1,1,1,1,3,2,3
Study17,Ketamine,2,1.5,118,57,3,1,1,1,1,1,3,2,3
Study18,Placebo,1.5,2.2,22,66,3,1,1,2,1,1,1,2,1
Study18,Ketamine,0,1.5,22,66,3,1,1,2,1,1,1,2,1
Study19,Placebo,3.4,3,7,61.7,3,1,1,1,1,1,3,2,1
Study19,Ketamine,2.4,1.1,8,61.7,3,1,1,1,1,1,3,2,1
